Country Code,Country Name,Region,IncomeGroup,SE_XPD_PRIM_PC_ZS,SE_XPD_SECO_PC_ZS,SE_XPD_TOTL_GD_ZS,SL_TLF_TOTL_IN,SL_UEM_TOTL_ZS
EST,Estonia,Europe & Central Asia,High income,20.94984366,24.18698269,5.201552667,681645.375,9.801249921
ETH,Ethiopia,Sub-Saharan Africa,Low income,7.991970142,20.86686974,4.72891,38045880,5.770812511
FIN,Finland,Europe & Central Asia,High income,18.56912067,29.11273993,6.346389375,2661067.5,8.770624995
FJI,Fiji,East Asia & Pacific,Upper middle income,15.26206017,10.91872001,5.206243636,334284,7.561437488
FRA,France,Europe & Central Asia,High income,17.71669677,27.52925082,5.552516923,29202236.75,8.925624937
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,,,9.58384,,
GAB,Gabon,Sub-Saharan Africa,Upper middle income,4.750150204,,3.100403333,466932.6875,18.65612471
GBR,United Kingdom,Europe & Central Asia,High income,19.66237482,24.88049937,5.062273333,31290386.13,5.992500007
GEO,Georgia,Europe & Central Asia,Lower middle income,11.36980693,14.24339008,2.544973333,2121821.813,13.62187499
GHA,Ghana,Sub-Saharan Africa,Lower middle income,14.00806907,29.35405731,6.305203077,10496987.88,5.138250053
GIN,Guinea,Sub-Saharan Africa,Low income,6.253081526,7.112727642,2.266722143,3764898.688,4.547375023
GMB,"Gambia, The",Sub-Saharan Africa,Low income,9.144467762,13.14973672,2.331894,499959.8125,9.400874972
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,2.787440062,,1.9630575,602874.6875,6.380312502
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,309774.125,5.66762498
GRC,Greece,Europe & Central Asia,High income,19.65483093,19.08288851,3.513261667,4992525.625,14.37812501
GRD,Grenada,Latin America & Caribbean,Upper middle income,8.788470268,9.652230263,3.92674,,
GTM,Guatemala,Latin America & Caribbean,Upper middle income,8.808456377,5.070935043,2.958576667,5254101.5,2.796062514
GUM,Guam,East Asia & Pacific,High income,,,,76796.125,9.840937525
GUY,Guyana,Latin America & Caribbean,Upper middle income,9.416036606,10.16872387,4.905857143,281134.625,11.46106249
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,13.84537462,17.84779203,3.792072,3651230.938,4.753125042
HND,Honduras,Latin America & Caribbean,Lower middle income,20.29131508,20.01650047,6.14395,3061640.188,4.241124958
HRV,Croatia,Europe & Central Asia,High income,,,4.120177778,1942455.813,13.61437505
HTI,Haiti,Latin America & Caribbean,Low income,,,3.15723,3979741.75,13.9246251
HUN,Hungary,Europe & Central Asia,High income,20.96784836,21.40844202,4.922475625,4299470.188,7.957499981
IDN,Indonesia,East Asia & Pacific,Lower middle income,11.92780268,9.865803719,3.075438571,111876450.4,5.997500092
IND,India,South Asia,Lower middle income,10.47585386,18.09469646,3.614932,462000288.4,3.960625023
IRL,Ireland,Europe & Central Asia,High income,15.12696501,21.79476983,4.87343375,2096108.938,8.116250023
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,10.98517669,14.44850202,3.811,23656168.31,11.72543758
IRQ,Iraq,Middle East & North Africa,Upper middle income,,,,7616858.625,8.424437553
ISL,Iceland,Europe & Central Asia,High income,24.17805417,20.64965799,7.266758,183740.9375,4.217500024
ISR,Israel,Middle East & North Africa,High income,20.9975407,17.35934691,5.85808125,3296008.375,9.426875025
ITA,Italy,Europe & Central Asia,High income,22.46034314,24.8278814,4.335233333,24455032.56,9.096874923
JAM,Jamaica,Latin America & Caribbean,Upper middle income,18.38171587,24.03812151,5.525888667,1322551,12.55374998
JOR,Jordan,Middle East & North Africa,Upper middle income,14.8477926,18.16945986,,1708875.625,13.46381241
JPN,Japan,East Asia & Pacific,High income,,,3.501677143,66732918.75,4.466875017
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,,19.12073644,2.744743333,8334172.875,7.355624974
KEN,Kenya,Sub-Saharan Africa,Lower middle income,17.98763517,18.90679207,5.889638462,14623856.25,11.10431248
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,,,5.514589375,2348803.938,8.56250003
KHM,Cambodia,East Asia & Pacific,Lower middle income,5.325568941,6.050829887,1.694502727,7451485.938,1.077437509
KIR,Kiribati,East Asia & Pacific,Lower middle income,23.90119457,,11.586995,,
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,5.900569916,14.05772972,3.99156,,
KOR,"Korea, Rep.",East Asia & Pacific,High income,17.85707446,21.97778475,4.472823571,24920763.5,3.548125029
KWT,Kuwait,Middle East & North Africa,High income,14.19696664,16.74488711,5.433982,1453131.813,1.956062511
LAO,Lao PDR,East Asia & Pacific,Lower middle income,7.088754896,9.523884365,2.323413571,2916389.438,1.067562487
LBN,Lebanon,Middle East & North Africa,Upper middle income,,4.933869839,2.3181375,1467643.375,7.467437416
LBR,Liberia,Sub-Saharan Africa,Low income,,,3.2681,1158487.188,4.194437534
LBY,Libya,Middle East & North Africa,Upper middle income,,,,2174644.188,18.94731253
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,13.71921677,19.37317395,4.459143077,83110.4375,18.58843744
LIE,Liechtenstein,Europe & Central Asia,High income,12.89848,11.4843113,2.24548,,
LKA,Sri Lanka,South Asia,Lower middle income,5.564327036,6.557095051,1.837302857,8211021.75,6.165625036
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,22.45136884,52.15676793,11.07828125,853780.0625,30.29687476
LTU,Lithuania,Europe & Central Asia,High income,17.18523311,19.26505601,5.007468,1546904.438,11.59062502
LUX,Luxembourg,Europe & Central Asia,High income,20.50299563,20.68059504,3.88902,226039,4.487499982
LVA,Latvia,Europe & Central Asia,High income,25.22762655,25.41992277,5.389261333,1079929.563,12.33249995
MAC,"Macao SAR, China",East Asia & Pacific,High income,7.16686662,20.10616755,2.562611875,295875.1875,3.799999975
MAR,Morocco,Middle East & North Africa,Lower middle income,17.0561148,38.22290593,5.301395,11095230.81,10.30250001
MCO,Monaco,Europe & Central Asia,High income,3.750885916,7.066687965,1.36668125,,
MDA,Moldova,Europe & Central Asia,Lower middle income,39.18144488,37.71977305,7.229618571,1338999.5,6.321875021
MDG,Madagascar,Sub-Saharan Africa,Low income,8.462514243,13.33175689,2.981855333,9758019.313,3.073937483
MDV,Maldives,South Asia,Upper middle income,15.23522764,,4.516887857,156792.875,3.913000047
MEX,Mexico,Latin America & Caribbean,Upper middle income,13.68180817,15.05458137,4.8310425,47871503.38,4.012500018
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,23.48052979,27.69030952,10.45493,,
MKD,"Macedonia, FYR",Europe & Central Asia,Upper middle income,,,3.30015,905806.5,32.5112499
MLI,Mali,Sub-Saharan Africa,Low income,10.64169878,28.27861404,3.450393571,4501829.75,8.213437498
MLT,Malta,Middle East & North Africa,High income,20.91668363,33.89919586,6.025887273,173011.5625,6.582500011
MMR,Myanmar,East Asia & Pacific,Lower middle income,,,0.78744,23534952.31,0.822437499
MNE,Montenegro,Europe & Central Asia,Upper middle income,,,,247400.625,23.55324996
MNG,Mongolia,East Asia & Pacific,Lower middle income,13.18129116,13.00444984,5.018528182,1116760.625,4.977312535
MOZ,Mozambique,Sub-Saharan Africa,Low income,12.81285318,56.97714345,4.995184,10219299.13,22.42468739
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,9.792121348,22.08653741,2.996169,994760.9375,10.31006247
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,10.71897424,18.34378985,3.75568125,557374.6875,7.93243742
MWI,Malawi,Sub-Saharan Africa,Low income,8.319175788,22.71269294,4.5662125,5913241,7.047874928
MYS,Malaysia,East Asia & Pacific,Upper middle income,14.71040134,19.95470324,5.698013333,11808468.19,3.294374958
NAM,Namibia,Sub-Saharan Africa,Upper middle income,17.9440213,23.36501646,6.34453375,761472.5,20.88968754
NCL,New Caledonia,East Asia & Pacific,High income,,,,115692.9375,14.94243765
NER,Niger,Sub-Saharan Africa,Low income,20.32334813,53.60932197,4.069269286,6056154,1.534499986
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,,,,46134263.88,4.16974996
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,8.252669803,4.578706689,3.417945,2328779.813,6.639874965
NLD,Netherlands,Europe & Central Asia,High income,16.98534012,22.92046928,5.20700625,8724162.625,4.398749977
NOR,Norway,Europe & Central Asia,High income,19.57158919,26.98347145,6.992545625,2550364,3.54187502
